"Місцевий час в Києві / Жулянах (аеропорт)";"N";"Cl";"Nh";"H";"Cm";"Ch";"RRR"
"13.08.2020 12:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"13.08.2020 09:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"13.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"13.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"13.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"12.08.2020 21:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 18:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 15:00";"90  або більше, але не 100 %";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"90  або більше, але не 100 %";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 12:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 09:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 03:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"12.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"11.08.2020 21:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"0.4"
"11.08.2020 18:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"11.08.2020 15:00";"40%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"11.08.2020 12:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"11.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"11.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"11.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"11.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"10.08.2020 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"3"
"10.08.2020 18:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"10.08.2020 15:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"3"
"10.08.2020 12:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"10.08.2020 09:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"10.08.2020 06:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"10.08.2020 03:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"10.08.2020 00:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"09.08.2020 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"09.08.2020 18:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"1000-1500";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"09.08.2020 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"09.08.2020 12:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"09.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"09.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"09.08.2020 03:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"09.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"08.08.2020 21:00";"50%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"08.08.2020 18:00";"70 – 80%.";"Шарувато-купчасті, що утворилися з купчастих.";"60%.";"1000-1500";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"08.08.2020 15:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"08.08.2020 12:00";"20–30%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"08.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"08.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"08.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"08.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"07.08.2020 21:00";"хмар немає";"";"";"";"";"";""
"07.08.2020 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"07.08.2020 15:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"07.08.2020 12:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"07.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"07.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"07.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"07.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 21:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 18:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 15:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 12:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"06.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"05.08.2020 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"05.08.2020 18:00";"20–30%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"05.08.2020 15:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"05.08.2020 12:00";"хмар немає";"";"";"";"";"";""
"05.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"05.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"05.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"05.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"04.08.2020 21:00";"хмар немає";"";"";"";"";"";""
"04.08.2020 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"04.08.2020 15:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"04.08.2020 12:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"04.08.2020 09:00";"хмар немає";"";"";"";"";"";""
"04.08.2020 06:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"04.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"04.08.2020 00:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2020 21:00";"50%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"03.08.2020 18:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"03.08.2020 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2020 12:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2020 09:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2020 06:00";"хмар немає";"";"";"";"";"";""
"03.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"03.08.2020 00:00";"хмар немає";"";"";"";"";"";""
"02.08.2020 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2020 18:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"02.08.2020 15:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"02.08.2020 12:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися з купчастих.";"90  або більше, але не 100 %";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"02.08.2020 09:00";"50%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"02.08.2020 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"02.08.2020 03:00";"хмар немає";"";"";"";"";"";""
"02.08.2020 00:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"8"
"01.08.2020 18:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 15:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"90  або більше, але не 100 %";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 12:00";"100%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"100%.";"600-1000";"";"";""
"01.08.2020 09:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 03:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2020 00:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2019 21:00";"хмар немає";"";"";"";"";"";""
"31.08.2019 18:00";"40%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"20–30%.";"1000-1500";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2019 15:00";"40%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2019 12:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"31.08.2019 09:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"Сліди опадів"
"31.08.2019 06:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";""
"31.08.2019 03:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2019 00:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";""
"30.08.2019 21:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"30.08.2019 18:00";"50%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"30.08.2019 15:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";""
"30.08.2019 12:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"30.08.2019 09:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"30.08.2019 06:00";"хмар немає";"";"";"";"";"";""
"30.08.2019 03:00";"хмар немає";"";"";"";"";"";""
"30.08.2019 00:00";"хмар немає";"";"";"";"";"";""
"29.08.2019 21:00";"хмар немає";"";"";"";"";"";""
"29.08.2019 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
