"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"06.08.2020 18:00";"30.7";"751.2";"765.4";"-0.3";"29";"Вітер, що дме зі сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 15:00";"30.9";"751.5";"765.7";"-0.2";"26";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 12:00";"29";"751.7";"766";"0.3";"31";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 09:00";"25";"751.4";"765.9";"0.9";"48";"Вітер, що дме з південного сходу";"1";"";"";"хмар немає";" ";"";"";"18.5";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 06:00";"18.6";"750.5";"765.3";"0.5";"69";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 03:00";"19.8";"750";"764.7";"0.5";"62";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2020 00:00";"22.5";"749.5";"764.1";"0.7";"52";"Вітер, що дме з півдня";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2020 21:00";"26.2";"748.8";"763.1";"1";"39";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"";"32.1";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"05.08.2020 18:00";"31.2";"747.8";"761.9";"-0.3";"25";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"05.08.2020 15:00";"31.5";"748.1";"762.2";"-0.2";"24";"Вітер, що дме з півдня-південного сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"05.08.2020 12:00";"28.9";"748.3";"762.5";"0.4";"39";"Вітер, що дме з півночі-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2020 09:00";"21.8";"747.9";"762.4";"0.5";"59";"Вітер, що дме з півдня-південного заходу";"1";"";"";"хмар немає";" ";"";"";"15.9";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2020 06:00";"16.3";"747.4";"762.2";"0.6";"72";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2020 03:00";"17.6";"746.8";"761.5";"0";"67";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2020 00:00";"20.7";"746.8";"761.3";"0.7";"56";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2020 21:00";"23.3";"746.1";"760.6";"0.7";"44";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"29.6";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2020 18:00";"28.7";"745.4";"759.6";"-1";"27";"Вітер, що дме з півдня-південного сходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"04.08.2020 15:00";"28.5";"746.4";"760.6";"-0.8";"33";"Вітер, що дме з півдня-південного сходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"04.08.2020 12:00";"27.1";"747.2";"761.5";"0";"43";"Вітер, що дме з півдня-південного сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"04.08.2020 09:00";"20.2";"747.2";"761.8";"0.4";"63";"Вітер, що дме зі сходу-південного сходу";"1";"";"";"хмар немає";" ";"";"";"13.2";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2020 06:00";"13.4";"746.8";"761.8";"-0.1";"87";"Штиль, безвітря";"0";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"04.08.2020 03:00";"15.4";"746.9";"761.8";"0";"76";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2020 00:00";"19.4";"746.9";"761.5";"0.2";"58";"Вітер, що дме з півдня";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"03.08.2020 21:00";"20.2";"746.7";"761.3";"0";"59";"Штиль, безвітря";"0";"";"";"50%.";" ";"";"";"";"25.8";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2020 18:00";"25.3";"746.7";"761";"-0.9";"40";"Вітер, що дме зі сходу";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"03.08.2020 15:00";"25.5";"747.6";"762";"-0.6";"38";"Вітер, що дме з півдня-південного сходу";"2";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"03.08.2020 12:00";"23.8";"748.2";"762.7";"-0.2";"44";"Вітер, що дме з південного сходу";"2";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"03.08.2020 09:00";"19.8";"748.4";"763";"0.5";"56";"Штиль, безвітря";"0";"";"";"10%  або менше, але не 0";" ";"";"";"14.5";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"03.08.2020 06:00";"14.5";"747.9";"762.8";"0.4";"77";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"03.08.2020 03:00";"15.8";"747.5";"762.4";"0.3";"71";"Вітер, що дме з північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"03.08.2020 00:00";"17.1";"747.2";"762";"0.6";"68";"Вітер, що дме із заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"02.08.2020 21:00";"17.9";"746.6";"761.3";"0.6";"63";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"";"21.6";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"02.08.2020 18:00";"21.1";"746";"760.6";"0.1";"50";"Вітер, що дме з північного заходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"02.08.2020 15:00";"20.2";"745.9";"760.6";"0.3";"51";"Вітер, що дме з півночі";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"02.08.2020 12:00";"17.6";"745.6";"760.3";"0.8";"62";"Вітер, що дме з півночі-північного заходу";"2";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчасті, що утворилися з купчастих.";"90  або більше, але не 100 %";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"02.08.2020 09:00";"16.4";"744.8";"759.6";"0.8";"70";"Вітер, що дме з півночі";"3";"";"";"50%.";" ";"";"";"12.7";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"02.08.2020 06:00";"12.9";"744";"758.9";"0.4";"81";"Вітер, що дме з північного заходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"02.08.2020 03:00";"14";"743.6";"758.5";"0.5";"81";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"02.08.2020 00:00";"15.2";"743.1";"757.9";"0.5";"80";"Вітер, що дме із заходу-північного заходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 21:00";"16.6";"742.6";"757.3";"0.6";"80";"Штиль, безвітря";"0";"";"";"20–30%.";"Стан неба в загальному не змінився. ";"Злива (зливи).";"Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.";"";"22";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"8";"12";"";"";"";"";""
"01.08.2020 18:00";"16.4";"742";"756.7";"-0.3";"86";"Штиль, безвітря";"0";"";"";"70 – 80%.";"Зливовий (і) дощ (и). ";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 15:00";"20.4";"742.3";"756.7";"-0.3";"60";"Вітер, що дме з півночі-північного заходу";"2";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"90  або більше, але не 100 %";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 12:00";"18.5";"742.6";"757.2";"-0.2";"64";"Вітер, що дме з північного заходу";"2";"";"";"100%.";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"100%.";"600-1000";"";"";"20";"";"";"";"";"";"";""
"01.08.2020 09:00";"17.8";"742.8";"757.4";"-0.1";"65";"Вітер, що дме з північного заходу";"2";"";"";"20–30%.";" ";"";"";"15";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 06:00";"15.2";"742.9";"757.7";"-0.5";"73";"Вітер, що дме із заходу-північного заходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 03:00";"17.4";"743.4";"758.1";"-0.2";"62";"Вітер, що дме з північного заходу";"1";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"01.08.2020 00:00";"17.6";"743.6";"758.3";"0.2";"60";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2019 21:00";"23.9";"748.9";"763.4";"0.2";"59";"Вітер, що дме з півночі-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"29.8";"";"";"";"";"";"20";"";"";"";"";"";"";""
"31.08.2019 18:00";"26.6";"748.7";"763";"-0.6";"49";"Вітер, що дме з півночі-північного сходу";"3";"";"";"40%.";" ";"";"";"";"";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"20–30%.";"1000-1500";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2019 15:00";"29.5";"749.3";"763.5";"-1.1";"42";"Вітер, що дме із заходу";"3";"";"";"40%.";" ";"";"";"";"";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2019 12:00";"26.1";"750.4";"764.7";"0.1";"50";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"31.08.2019 09:00";"19.7";"750.3";"765";"0.2";"51";"Вітер, що дме із заходу-північного заходу";"2";"";"";"70 – 80%.";"Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ";"Злива (зливи).";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"18.3";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"Сліди опадів";"12";"";"";"";"";""
"31.08.2019 06:00";"19.1";"750.1";"764.9";"-0.6";"35";"Вітер, що дме із заходу";"3";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";"20";"";"";"";"";"";"";""
"31.08.2019 03:00";"20.5";"750.7";"765.4";"-0.4";"33";"Вітер, що дме із заходу-південного заходу";"3";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2019 00:00";"19.9";"751.1";"765.8";"0.1";"57";"Вітер, що дме з півдня-південного заходу";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"30.08.2019 21:00";"21.2";"751";"765.6";"0.6";"39";"Вітер, що дме з півдня-південного сходу";"1";"";"";"40%.";" ";"";"";"";"28.3";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"30.08.2019 18:00";"27.7";"750.4";"764.8";"-1";"24";"Вітер, що дме з півдня";"1";"";"";"50%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"30.08.2019 15:00";"27.8";"751.4";"765.7";"-0.6";"26";"Вітер, що дме зі сходу";"2";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"30.08.2019 12:00";"25";"752";"766.5";"-0.1";"32";"Вітер, що дме з півдня-південного сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"30.08.2019 09:00";"17.9";"752.1";"766.9";"0.4";"57";"Вітер, що дме з півдня";"1";"";"";"40%.";" ";"";"";"12.3";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"30.08.2019 06:00";"13.1";"751.7";"766.8";"-0.1";"72";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2019 03:00";"14.2";"751.8";"766.8";"-0.2";"67";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2019 00:00";"16.4";"752";"766.9";"0";"53";"Вітер, що дме з півдня";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"29.08.2019 21:00";"21.1";"752";"766.7";"-0.1";"40";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"27.4";"";"";"";"";"";"20";"";"";"";"";"";"";""
"29.08.2019 18:00";"26.5";"752.1";"766.5";"-0.6";"30";"Вітер, що дме з півдня";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"29.08.2019 15:00";"26.3";"752.7";"767.1";"-0.7";"29";"Вітер, що дме з півдня";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"29.08.2019 12:00";"24.3";"753.4";"767.9";"-0.3";"36";"Вітер, що дме з півдня-південного сходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"29.08.2019 09:00";"17.7";"753.7";"768.5";"0.3";"53";"Вітер, що дме з півдня-південного сходу";"2";"";"";"10%  або менше, але не 0";" ";"";"";"14";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"29.08.2019 06:00";"14.6";"753.4";"768.4";"0.2";"66";"Вітер, що дме з південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"29.08.2019 03:00";"16.6";"753.2";"768.1";"0.4";"62";"Вітер, що дме з південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"29.08.2019 00:00";"19.3";"752.8";"767.6";"0.3";"53";"Вітер, що дме зі сходу-південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"28.08.2019 21:00";"22.6";"752.5";"767.2";"0.3";"51";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"27.1";"";"";"";"";"";"20";"";"";"";"";"";"";""
